Address: 0x00000196, Set: 0x6, Miss, Tag: 0x000000
Address: 0x00000826, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000195, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000364, Set: 0x5, Miss, Tag: 0x000001
Address: 0x00000635, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000033, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000405, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00000913, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000633, Set: 0x0, Hit, Tag: 0x000003
Address: 0x00000083, Set: 0x2, Hit, Tag: 0x000000
Address: 0x00000607, Set: 0x0, Hit, Tag: 0x000003
Address: 0x00000622, Set: 0x0, Hit, Tag: 0x000003
Address: 0x00000527, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000081, Set: 0x2, Hit, Tag: 0x000000
Address: 0x00000250, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00000411, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000053, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000696, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000301, Set: 0x4, Miss, Tag: 0x000001
Address: 0x00000012, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000499, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000473, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000706, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000200, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000670, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000652, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000420, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000811, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000045, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000829, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000983, Set: 0x6, Hit, Tag: 0x000004
Address: 0x00000617, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000631, Set: 0x0, Hit, Tag: 0x000003
Address: 0x00000155, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000982, Set: 0x6, Hit, Tag: 0x000004
Address: 0x00000242, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000188, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000363, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000131, Set: 0x4, Miss, Tag: 0x000000
Address: 0x00000822, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000446, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000738, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000420, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000974, Set: 0x5, Miss, Tag: 0x000004
Address: 0x00000819, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000670, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000361, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000872, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00000342, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000662, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000885, Set: 0x2, Miss, Tag: 0x000004
Address: 0x00000841, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000111, Set: 0x4, Hit, Tag: 0x000000
Address: 0x00000567, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000018, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000781, Set: 0x6, Miss, Tag: 0x000003
Address: 0x00000195, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000438, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000569, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000241, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000243, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000528, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000858, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000874, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000683, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000816, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000092, Set: 0x2, Hit, Tag: 0x000000
Address: 0x00000872, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000155, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000223, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000670, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000602, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000962, Set: 0x5, Hit, Tag: 0x000004
Address: 0x00000066, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000552, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000757, Set: 0x5, Miss, Tag: 0x000003
Address: 0x00000736, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000913, Set: 0x4, Miss, Tag: 0x000004
Address: 0x00000606, Set: 0x0, Hit, Tag: 0x000003
Address: 0x00000054, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000551, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000467, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000895, Set: 0x2, Hit, Tag: 0x000004
Address: 0x00000663, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000010, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000913, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000420, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000206, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00000328, Set: 0x4, Hit, Tag: 0x000001
Address: 0x00000989, Set: 0x6, Hit, Tag: 0x000004
Address: 0x00000447, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000571, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000494, Set: 0x2, Miss, Tag: 0x000002
Address: 0x00000281, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000422, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000153, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000074, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000514, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00000001, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000229, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00000738, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000671, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000831, Set: 0x0, Miss, Tag: 0x000004
Address: 0x00000676, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000737, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000359, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000409, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000449, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000248, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00001015, Set: 0x0, Miss, Tag: 0x000008
Address: 0x00000503, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000800, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000458, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000375, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000439, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000469, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000264, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000859, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000675, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000592, Set: 0x6, Miss, Tag: 0x000002
Address: 0x00000825, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000098, Set: 0x2, Hit, Tag: 0x000000
Address: 0x00000140, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000295, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000379, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000562, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000448, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000453, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000052, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00000450, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000683, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000790, Set: 0x6, Hit, Tag: 0x000003
Address: 0x00000097, Set: 0x2, Hit, Tag: 0x000000
Address: 0x00000490, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000442, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000835, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000850, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000852, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000260, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00000074, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000843, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000764, Set: 0x5, Hit, Tag: 0x000003
Address: 0x00000874, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000278, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000115, Set: 0x4, Miss, Tag: 0x000000
Address: 0x00000289, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000747, Set: 0x5, Hit, Tag: 0x000003
Address: 0x00000379, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000125, Set: 0x4, Hit, Tag: 0x000000
Address: 0x00000398, Set: 0x6, Miss, Tag: 0x000001
Address: 0x00000972, Set: 0x5, Miss, Tag: 0x000004
Address: 0x00000950, Set: 0x5, Hit, Tag: 0x000004
Address: 0x00000496, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000088, Set: 0x2, Hit, Tag: 0x000000
Address: 0x00000221, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00000875, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000650, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000669, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000305, Set: 0x4, Hit, Tag: 0x000001
Address: 0x00000702, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000095, Set: 0x2, Hit, Tag: 0x000000
Address: 0x00000988, Set: 0x6, Hit, Tag: 0x000004
Address: 0x00000469, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000193, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000454, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000911, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000004, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000280, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000739, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000264, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00000355, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000559, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000004, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000205, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00000837, Set: 0x0, Miss, Tag: 0x000004
Address: 0x00000119, Set: 0x4, Hit, Tag: 0x000000
Address: 0x00000495, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000560, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000499, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000620, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000958, Set: 0x5, Hit, Tag: 0x000004
Address: 0x00000447, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000546, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000430, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000535, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00000767, Set: 0x5, Miss, Tag: 0x000003
Address: 0x00000281, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000161, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000412, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000586, Set: 0x6, Hit, Tag: 0x000002
Address: 0x00000863, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000508, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000550, Set: 0x5, Miss, Tag: 0x000002
Address: 0x00000308, Set: 0x4, Hit, Tag: 0x000001
Address: 0x00000701, Set: 0x4, Miss, Tag: 0x000003
Address: 0x00001005, Set: 0x0, Hit, Tag: 0x000008
Address: 0x00000196, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000705, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000261, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000935, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000969, Set: 0x5, Hit, Tag: 0x000004
Address: 0x00000616, Set: 0x0, Hit, Tag: 0x000003
Address: 0x00000470, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000974, Set: 0x5, Hit, Tag: 0x000004
Address: 0x00000822, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000283, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000069, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000293, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000843, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000568, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000913, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000777, Set: 0x5, Hit, Tag: 0x000003
Address: 0x00001015, Set: 0x0, Hit, Tag: 0x000008
Address: 0x00000435, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000183, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000526, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000178, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000465, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000687, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000590, Set: 0x6, Hit, Tag: 0x000002
Address: 0x00000027, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000527, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000074, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000578, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000835, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000775, Set: 0x5, Hit, Tag: 0x000003
Address: 0x00000559, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000007, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000456, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000820, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000943, Set: 0x5, Hit, Tag: 0x000004
Address: 0x00000402, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000413, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000389, Set: 0x6, Hit, Tag: 0x000001
Address: 0x00000352, Set: 0x5, Miss, Tag: 0x000001
Address: 0x00000211, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000673, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00000421, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000504, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000492, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000990, Set: 0x6, Hit, Tag: 0x000004
Address: 0x00000393, Set: 0x6, Hit, Tag: 0x000001
Address: 0x00000246, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000981, Set: 0x6, Hit, Tag: 0x000004
Address: 0x00000828, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000429, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000484, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00001006, Set: 0x0, Miss, Tag: 0x000008
Address: 0x00000894, Set: 0x2, Miss, Tag: 0x000004
Address: 0x00000147, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000572, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000922, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000674, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000647, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000476, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000486, Set: 0x2, Miss, Tag: 0x000002
Address: 0x00000398, Set: 0x6, Hit, Tag: 0x000001
Address: 0x00000011, Set: 0x0, Hit, Tag: 0x000000
Address: 0x00000493, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000855, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000831, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000412, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000233, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000220, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00000802, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000585, Set: 0x6, Hit, Tag: 0x000002
Address: 0x00000431, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000451, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00001006, Set: 0x0, Miss, Tag: 0x000008
Address: 0x00000935, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000943, Set: 0x5, Hit, Tag: 0x000004
Address: 0x00000972, Set: 0x5, Hit, Tag: 0x000004
Address: 0x00000304, Set: 0x4, Miss, Tag: 0x000001
Address: 0x00000165, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000930, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000108, Set: 0x4, Hit, Tag: 0x000000
Address: 0x00000595, Set: 0x6, Hit, Tag: 0x000002
Address: 0x00000390, Set: 0x6, Hit, Tag: 0x000001
Address: 0x00000090, Set: 0x2, Hit, Tag: 0x000000
Address: 0x00000465, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000537, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00000663, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00000363, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000188, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000286, Set: 0x2, Miss, Tag: 0x000001
Address: 0x00000839, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000674, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000684, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000850, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000143, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000515, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000658, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000556, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000748, Set: 0x5, Miss, Tag: 0x000003
Address: 0x00000878, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000334, Set: 0x4, Hit, Tag: 0x000001
Address: 0x00000309, Set: 0x4, Hit, Tag: 0x000001
Address: 0x00000286, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000785, Set: 0x6, Miss, Tag: 0x000003
Address: 0x00000292, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000197, Set: 0x6, Hit, Tag: 0x000000
Address: 0x00000704, Set: 0x4, Miss, Tag: 0x000003
Address: 0x00000240, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000502, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00000870, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000146, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000610, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000441, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000536, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000701, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000906, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000050, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00000340, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000246, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000238, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000626, Set: 0x0, Hit, Tag: 0x000003
Address: 0x00000061, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000912, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000286, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000912, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000031, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000802, Set: 0x0, Miss, Tag: 0x000004
Address: 0x00000546, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000587, Set: 0x6, Hit, Tag: 0x000002
Address: 0x00000526, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000400, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00000921, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000836, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000686, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000682, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000104, Set: 0x4, Hit, Tag: 0x000000
Address: 0x00000884, Set: 0x2, Miss, Tag: 0x000004
Address: 0x00000363, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000344, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000362, Set: 0x5, Hit, Tag: 0x000001
Address: 0x00000209, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000491, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000972, Set: 0x5, Miss, Tag: 0x000004
Address: 0x00000650, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00000003, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000649, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000532, Set: 0x4, Hit, Tag: 0x000002
Address: 0x00000053, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000989, Set: 0x6, Hit, Tag: 0x000004
Address: 0x00000778, Set: 0x5, Hit, Tag: 0x000003
Address: 0x00000291, Set: 0x2, Hit, Tag: 0x000001
Address: 0x00000591, Set: 0x6, Hit, Tag: 0x000002
Address: 0x00000840, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000179, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000878, Set: 0x1, Hit, Tag: 0x000004
Address: 0x00000728, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000211, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00000656, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000250, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000798, Set: 0x6, Hit, Tag: 0x000003
Address: 0x00000158, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000650, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000696, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000994, Set: 0x6, Hit, Tag: 0x000004
Address: 0x00000313, Set: 0x4, Miss, Tag: 0x000001
Address: 0x00000354, Set: 0x5, Miss, Tag: 0x000001
Address: 0x00000074, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000173, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000717, Set: 0x4, Miss, Tag: 0x000003
Address: 0x00000419, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000535, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00000926, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000910, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00000483, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00000552, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000913, Set: 0x4, Hit, Tag: 0x000004
