Address: 0x00001804, Set: 0x0, Miss, Tag: 0x00000c
Address: 0x00000344, Set: 0xa, Miss, Tag: 0x000001
Address: 0x00000266, Set: 0x3, Miss, Tag: 0x000001
Address: 0x00001652, Set: 0x2, Miss, Tag: 0x00000b
Address: 0x00001917, Set: 0x8, Miss, Tag: 0x00000c
Address: 0x00000768, Set: 0xb, Miss, Tag: 0x000003
Address: 0x00001177, Set: 0xb, Miss, Tag: 0x000008
Address: 0x00001974, Set: 0xb, Miss, Tag: 0x00000c
Address: 0x00001970, Set: 0xb, Hit, Tag: 0x00000c
Address: 0x00000383, Set: 0xc, Hit, Tag: 0x000001
Address: 0x00000650, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000782, Set: 0xc, Miss, Tag: 0x000003
Address: 0x00000389, Set: 0xc, Hit, Tag: 0x000001
Address: 0x00001073, Set: 0x3, Hit, Tag: 0x000008
Address: 0x00001394, Set: 0xc, Miss, Tag: 0x000009
Address: 0x00000897, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00001702, Set: 0x8, Hit, Tag: 0x00000b
Address: 0x00000342, Set: 0xa, Hit, Tag: 0x000001
Address: 0x00000076, Set: 0x3, Miss, Tag: 0x000000
Address: 0x00001698, Set: 0x4, Miss, Tag: 0x00000b
Address: 0x00001937, Set: 0x9, Miss, Tag: 0x00000c
Address: 0x00001904, Set: 0x8, Miss, Tag: 0x00000c
Address: 0x00001245, Set: 0x2, Miss, Tag: 0x000009
Address: 0x00001138, Set: 0x9, Hit, Tag: 0x000008
Address: 0x00001145, Set: 0xa, Miss, Tag: 0x000008
Address: 0x00001865, Set: 0x3, Miss, Tag: 0x00000c
Address: 0x00001797, Set: 0xc, Miss, Tag: 0x00000b
Address: 0x00001023, Set: 0x1, Miss, Tag: 0x000008
Address: 0x00001009, Set: 0x0, Hit, Tag: 0x000008
Address: 0x00001422, Set: 0x1, Miss, Tag: 0x00000a
Address: 0x00001917, Set: 0x8, Hit, Tag: 0x00000c
Address: 0x00000131, Set: 0x9, Miss, Tag: 0x000000
Address: 0x00001766, Set: 0xb, Miss, Tag: 0x00000b
Address: 0x00000135, Set: 0x9, Hit, Tag: 0x000000
Address: 0x00001783, Set: 0xc, Miss, Tag: 0x00000b
Address: 0x00001635, Set: 0x1, Miss, Tag: 0x00000b
Address: 0x00000903, Set: 0x8, Miss, Tag: 0x000004
Address: 0x00000912, Set: 0x8, Miss, Tag: 0x000004
Address: 0x00001561, Set: 0xb, Hit, Tag: 0x00000a
Address: 0x00000826, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00001295, Set: 0x4, Hit, Tag: 0x000009
Address: 0x00000163, Set: 0xb, Miss, Tag: 0x000000
Address: 0x00001608, Set: 0x0, Miss, Tag: 0x00000b
Address: 0x00001684, Set: 0x4, Hit, Tag: 0x00000b
Address: 0x00001237, Set: 0x1, Miss, Tag: 0x000009
Address: 0x00000954, Set: 0xa, Miss, Tag: 0x000004
Address: 0x00000533, Set: 0x9, Hit, Tag: 0x000002
Address: 0x00000891, Set: 0x4, Hit, Tag: 0x000004
Address: 0x00001296, Set: 0x4, Hit, Tag: 0x000009
Address: 0x00000610, Set: 0x0, Hit, Tag: 0x000003
Address: 0x00000541, Set: 0xa, Miss, Tag: 0x000002
Address: 0x00001185, Set: 0xc, Hit, Tag: 0x000008
Address: 0x00000466, Set: 0x3, Miss, Tag: 0x000002
Address: 0x00001786, Set: 0xc, Miss, Tag: 0x00000b
Address: 0x00000275, Set: 0x3, Miss, Tag: 0x000001
Address: 0x00001611, Set: 0x0, Miss, Tag: 0x00000b
Address: 0x00001603, Set: 0x0, Hit, Tag: 0x00000b
Address: 0x00000024, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00000586, Set: 0xc, Miss, Tag: 0x000002
Address: 0x00000564, Set: 0xb, Miss, Tag: 0x000002
Address: 0x00001446, Set: 0x2, Miss, Tag: 0x00000a
Address: 0x00000456, Set: 0x2, Miss, Tag: 0x000002
Address: 0x00000695, Set: 0x4, Miss, Tag: 0x000003
Address: 0x00001164, Set: 0xb, Miss, Tag: 0x000008
Address: 0x00000591, Set: 0xc, Miss, Tag: 0x000002
Address: 0x00000430, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000751, Set: 0xa, Miss, Tag: 0x000003
Address: 0x00001495, Set: 0x4, Miss, Tag: 0x00000a
Address: 0x00001342, Set: 0xa, Miss, Tag: 0x000009
Address: 0x00000264, Set: 0x3, Miss, Tag: 0x000001
Address: 0x00000273, Set: 0x3, Hit, Tag: 0x000001
Address: 0x00000590, Set: 0xc, Miss, Tag: 0x000002
Address: 0x00000428, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00001881, Set: 0x4, Miss, Tag: 0x00000c
Address: 0x00000226, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00001665, Set: 0x3, Miss, Tag: 0x00000b
Address: 0x00000788, Set: 0xc, Hit, Tag: 0x000003
Address: 0x00000760, Set: 0xb, Miss, Tag: 0x000003
Address: 0x00000508, Set: 0x8, Hit, Tag: 0x000002
Address: 0x00000036, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00001370, Set: 0xb, Miss, Tag: 0x000009
Address: 0x00001049, Set: 0x2, Miss, Tag: 0x000008
Address: 0x00001222, Set: 0x1, Miss, Tag: 0x000009
Address: 0x00001836, Set: 0x1, Miss, Tag: 0x00000c
Address: 0x00000787, Set: 0xc, Hit, Tag: 0x000003
Address: 0x00001497, Set: 0x4, Hit, Tag: 0x00000a
Address: 0x00001399, Set: 0xc, Miss, Tag: 0x000009
Address: 0x00000342, Set: 0xa, Hit, Tag: 0x000001
Address: 0x00001522, Set: 0x9, Miss, Tag: 0x00000a
Address: 0x00001986, Set: 0xc, Miss, Tag: 0x00000c
Address: 0x00000907, Set: 0x8, Hit, Tag: 0x000004
Address: 0x00000920, Set: 0x9, Miss, Tag: 0x000004
Address: 0x00000394, Set: 0xc, Miss, Tag: 0x000001
Address: 0x00001602, Set: 0x0, Hit, Tag: 0x00000b
Address: 0x00000037, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000985, Set: 0xc, Miss, Tag: 0x000004
Address: 0x00002033, Set: 0x1, Miss, Tag: 0x000010
Address: 0x00000788, Set: 0xc, Miss, Tag: 0x000003
Address: 0x00000432, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00001327, Set: 0x9, Miss, Tag: 0x000009
Address: 0x00001053, Set: 0x2, Hit, Tag: 0x000008
Address: 0x00000705, Set: 0x8, Miss, Tag: 0x000003
Address: 0x00001917, Set: 0x8, Hit, Tag: 0x00000c
Address: 0x00001481, Set: 0x4, Hit, Tag: 0x00000a
Address: 0x00000539, Set: 0x9, Miss, Tag: 0x000002
Address: 0x00000096, Set: 0x4, Miss, Tag: 0x000000
Address: 0x00001098, Set: 0x4, Miss, Tag: 0x000008
Address: 0x00001327, Set: 0x9, Hit, Tag: 0x000009
Address: 0x00000856, Set: 0x2, Miss, Tag: 0x000004
Address: 0x00001606, Set: 0x0, Hit, Tag: 0x00000b
Address: 0x00001363, Set: 0xb, Miss, Tag: 0x000009
Address: 0x00000178, Set: 0xb, Hit, Tag: 0x000000
Address: 0x00000607, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000537, Set: 0x9, Miss, Tag: 0x000002
Address: 0x00002014, Set: 0x0, Miss, Tag: 0x000010
Address: 0x00001394, Set: 0xc, Miss, Tag: 0x000009
Address: 0x00002035, Set: 0x1, Miss, Tag: 0x000010
Address: 0x00001365, Set: 0xb, Miss, Tag: 0x000009
Address: 0x00001736, Set: 0x9, Miss, Tag: 0x00000b
Address: 0x00001509, Set: 0x8, Miss, Tag: 0x00000a
Address: 0x00001303, Set: 0x8, Miss, Tag: 0x000009
Address: 0x00000595, Set: 0xc, Miss, Tag: 0x000002
Address: 0x00000381, Set: 0xc, Miss, Tag: 0x000001
Address: 0x00001697, Set: 0x4, Hit, Tag: 0x00000b
Address: 0x00000150, Set: 0xa, Miss, Tag: 0x000000
Address: 0x00000418, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00000635, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00000135, Set: 0x9, Hit, Tag: 0x000000
Address: 0x00001207, Set: 0x0, Hit, Tag: 0x000009
Address: 0x00001067, Set: 0x3, Hit, Tag: 0x000008
Address: 0x00001462, Set: 0x3, Miss, Tag: 0x00000a
Address: 0x00000212, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00001773, Set: 0xb, Miss, Tag: 0x00000b
Address: 0x00001332, Set: 0x9, Hit, Tag: 0x000009
Address: 0x00001693, Set: 0x4, Hit, Tag: 0x00000b
Address: 0x00000264, Set: 0x3, Hit, Tag: 0x000001
Address: 0x00001428, Set: 0x1, Miss, Tag: 0x00000a
Address: 0x00000743, Set: 0xa, Miss, Tag: 0x000003
Address: 0x00001591, Set: 0xc, Miss, Tag: 0x00000a
Address: 0x00000236, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00000301, Set: 0x8, Miss, Tag: 0x000001
Address: 0x00000906, Set: 0x8, Hit, Tag: 0x000004
Address: 0x00000414, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000908, Set: 0x8, Hit, Tag: 0x000004
Address: 0x00001444, Set: 0x2, Miss, Tag: 0x00000a
Address: 0x00000380, Set: 0xc, Miss, Tag: 0x000001
Address: 0x00000254, Set: 0x2, Miss, Tag: 0x000001
Address: 0x00001431, Set: 0x1, Miss, Tag: 0x00000a
Address: 0x00001745, Set: 0xa, Hit, Tag: 0x00000b
Address: 0x00001990, Set: 0xc, Miss, Tag: 0x00000c
Address: 0x00000892, Set: 0x4, Miss, Tag: 0x000004
Address: 0x00001001, Set: 0x0, Miss, Tag: 0x000008
Address: 0x00000538, Set: 0x9, Hit, Tag: 0x000002
Address: 0x00001273, Set: 0x3, Miss, Tag: 0x000009
Address: 0x00000650, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000688, Set: 0x4, Miss, Tag: 0x000003
Address: 0x00001692, Set: 0x4, Miss, Tag: 0x00000b
Address: 0x00001285, Set: 0x4, Miss, Tag: 0x000009
Address: 0x00000823, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00000851, Set: 0x2, Miss, Tag: 0x000004
Address: 0x00000305, Set: 0x8, Miss, Tag: 0x000001
Address: 0x00000237, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00001063, Set: 0x3, Miss, Tag: 0x000008
Address: 0x00000030, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00001569, Set: 0xb, Miss, Tag: 0x00000a
Address: 0x00000708, Set: 0x8, Hit, Tag: 0x000003
Address: 0x00000294, Set: 0x4, Miss, Tag: 0x000001
Address: 0x00000949, Set: 0xa, Hit, Tag: 0x000004
Address: 0x00001451, Set: 0x2, Miss, Tag: 0x00000a
Address: 0x00001885, Set: 0x4, Hit, Tag: 0x00000c
Address: 0x00001185, Set: 0xc, Miss, Tag: 0x000008
Address: 0x00001752, Set: 0xa, Hit, Tag: 0x00000b
Address: 0x00000743, Set: 0xa, Hit, Tag: 0x000003
Address: 0x00001599, Set: 0xc, Miss, Tag: 0x00000a
Address: 0x00000612, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000139, Set: 0x9, Hit, Tag: 0x000000
Address: 0x00001979, Set: 0xb, Miss, Tag: 0x00000c
Address: 0x00000866, Set: 0x3, Miss, Tag: 0x000004
Address: 0x00001570, Set: 0xb, Miss, Tag: 0x00000a
Address: 0x00001677, Set: 0x3, Hit, Tag: 0x00000b
Address: 0x00000808, Set: 0x0, Miss, Tag: 0x000004
Address: 0x00000414, Set: 0x0, Hit, Tag: 0x000002
Address: 0x00000630, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00001346, Set: 0xa, Miss, Tag: 0x000009
Address: 0x00001688, Set: 0x4, Miss, Tag: 0x00000b
Address: 0x00001280, Set: 0x4, Hit, Tag: 0x000009
Address: 0x00002034, Set: 0x1, Miss, Tag: 0x000010
Address: 0x00001332, Set: 0x9, Hit, Tag: 0x000009
Address: 0x00000518, Set: 0x8, Miss, Tag: 0x000002
Address: 0x00000809, Set: 0x0, Miss, Tag: 0x000004
Address: 0x00000135, Set: 0x9, Hit, Tag: 0x000000
Address: 0x00000823, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00001047, Set: 0x2, Hit, Tag: 0x000008
Address: 0x00001198, Set: 0xc, Miss, Tag: 0x000008
Address: 0x00000853, Set: 0x2, Hit, Tag: 0x000004
Address: 0x00000568, Set: 0xb, Hit, Tag: 0x000002
Address: 0x00001906, Set: 0x8, Hit, Tag: 0x00000c
Address: 0x00001147, Set: 0xa, Miss, Tag: 0x000008
Address: 0x00001518, Set: 0x8, Hit, Tag: 0x00000a
Address: 0x00001309, Set: 0x8, Miss, Tag: 0x000009
Address: 0x00000984, Set: 0xc, Miss, Tag: 0x000004
Address: 0x00000655, Set: 0x2, Miss, Tag: 0x000003
Address: 0x00001013, Set: 0x0, Hit, Tag: 0x000008
Address: 0x00001727, Set: 0x9, Miss, Tag: 0x00000b
Address: 0x00000207, Set: 0x0, Hit, Tag: 0x000001
Address: 0x00001625, Set: 0x1, Miss, Tag: 0x00000b
Address: 0x00001867, Set: 0x3, Miss, Tag: 0x00000c
Address: 0x00000138, Set: 0x9, Miss, Tag: 0x000000
Address: 0x00000443, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00001389, Set: 0xc, Miss, Tag: 0x000009
Address: 0x00001815, Set: 0x0, Miss, Tag: 0x00000c
Address: 0x00001251, Set: 0x2, Miss, Tag: 0x000009
Address: 0x00001804, Set: 0x0, Miss, Tag: 0x00000c
Address: 0x00000397, Set: 0xc, Miss, Tag: 0x000001
Address: 0x00000550, Set: 0xa, Miss, Tag: 0x000002
Address: 0x00001444, Set: 0x2, Miss, Tag: 0x00000a
Address: 0x00001678, Set: 0x3, Hit, Tag: 0x00000b
Address: 0x00000536, Set: 0x9, Hit, Tag: 0x000002
Address: 0x00000728, Set: 0x9, Miss, Tag: 0x000003
Address: 0x00000148, Set: 0xa, Miss, Tag: 0x000000
Address: 0x00001346, Set: 0xa, Hit, Tag: 0x000009
Address: 0x00000863, Set: 0x3, Hit, Tag: 0x000004
Address: 0x00000971, Set: 0xb, Miss, Tag: 0x000004
Address: 0x00000345, Set: 0xa, Miss, Tag: 0x000001
Address: 0x00000013, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00001824, Set: 0x1, Miss, Tag: 0x00000c
Address: 0x00000913, Set: 0x8, Hit, Tag: 0x000004
Address: 0x00001919, Set: 0x8, Miss, Tag: 0x00000c
Address: 0x00000923, Set: 0x9, Miss, Tag: 0x000004
Address: 0x00000383, Set: 0xc, Hit, Tag: 0x000001
Address: 0x00001180, Set: 0xc, Hit, Tag: 0x000008
Address: 0x00001907, Set: 0x8, Hit, Tag: 0x00000c
Address: 0x00001039, Set: 0x1, Miss, Tag: 0x000008
Address: 0x00000145, Set: 0xa, Hit, Tag: 0x000000
Address: 0x00001586, Set: 0xc, Hit, Tag: 0x00000a
Address: 0x00001246, Set: 0x2, Hit, Tag: 0x000009
Address: 0x00001770, Set: 0xb, Miss, Tag: 0x00000b
Address: 0x00001405, Set: 0x0, Miss, Tag: 0x00000a
Address: 0x00001384, Set: 0xc, Hit, Tag: 0x000009
Address: 0x00000165, Set: 0xb, Miss, Tag: 0x000000
Address: 0x00000747, Set: 0xa, Miss, Tag: 0x000003
Address: 0x00001152, Set: 0xa, Hit, Tag: 0x000008
Address: 0x00001416, Set: 0x0, Hit, Tag: 0x00000a
Address: 0x00000503, Set: 0x8, Miss, Tag: 0x000002
Address: 0x00001549, Set: 0xa, Miss, Tag: 0x00000a
Address: 0x00001966, Set: 0xb, Miss, Tag: 0x00000c
Address: 0x00001947, Set: 0xa, Miss, Tag: 0x00000c
Address: 0x00001179, Set: 0xb, Miss, Tag: 0x000008
Address: 0x00000455, Set: 0x2, Miss, Tag: 0x000002
Address: 0x00000627, Set: 0x1, Miss, Tag: 0x000003
Address: 0x00001327, Set: 0x9, Hit, Tag: 0x000009
Address: 0x00001801, Set: 0x0, Miss, Tag: 0x00000c
Address: 0x00001490, Set: 0x4, Miss, Tag: 0x00000a
Address: 0x00000250, Set: 0x2, Miss, Tag: 0x000001
Address: 0x00000098, Set: 0x4, Hit, Tag: 0x000000
Address: 0x00001503, Set: 0x8, Hit, Tag: 0x00000a
Address: 0x00000026, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00001011, Set: 0x0, Hit, Tag: 0x000008
Address: 0x00001374, Set: 0xb, Hit, Tag: 0x000009
Address: 0x00000949, Set: 0xa, Miss, Tag: 0x000004
Address: 0x00001395, Set: 0xc, Hit, Tag: 0x000009
Address: 0x00000506, Set: 0x8, Hit, Tag: 0x000002
Address: 0x00000808, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000386, Set: 0xc, Hit, Tag: 0x000001
Address: 0x00000651, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000347, Set: 0xa, Hit, Tag: 0x000001
Address: 0x00001632, Set: 0x1, Hit, Tag: 0x00000b
Address: 0x00000373, Set: 0xb, Miss, Tag: 0x000001
Address: 0x00001752, Set: 0xa, Miss, Tag: 0x00000b
Address: 0x00000968, Set: 0xb, Miss, Tag: 0x000004
Address: 0x00000538, Set: 0x9, Hit, Tag: 0x000002
Address: 0x00000451, Set: 0x2, Miss, Tag: 0x000002
Address: 0x00000072, Set: 0x3, Miss, Tag: 0x000000
Address: 0x00001954, Set: 0xa, Miss, Tag: 0x00000c
Address: 0x00000954, Set: 0xa, Hit, Tag: 0x000004
Address: 0x00001622, Set: 0x1, Hit, Tag: 0x00000b
Address: 0x00001873, Set: 0x3, Miss, Tag: 0x00000c
Address: 0x00000853, Set: 0x2, Miss, Tag: 0x000004
Address: 0x00000753, Set: 0xa, Miss, Tag: 0x000003
Address: 0x00000280, Set: 0x4, Miss, Tag: 0x000001
Address: 0x00001480, Set: 0x4, Miss, Tag: 0x00000a
Address: 0x00000033, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00000033, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000922, Set: 0x9, Miss, Tag: 0x000004
Address: 0x00000283, Set: 0x4, Hit, Tag: 0x000001
Address: 0x00000131, Set: 0x9, Hit, Tag: 0x000000
Address: 0x00000377, Set: 0xb, Hit, Tag: 0x000001
Address: 0x00000310, Set: 0x8, Miss, Tag: 0x000001
Address: 0x00001142, Set: 0xa, Miss, Tag: 0x000008
Address: 0x00001751, Set: 0xa, Miss, Tag: 0x00000b
Address: 0x00001259, Set: 0x2, Miss, Tag: 0x000009
Address: 0x00000489, Set: 0x4, Miss, Tag: 0x000002
Address: 0x00000209, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000020, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000875, Set: 0x3, Hit, Tag: 0x000004
Address: 0x00000860, Set: 0x3, Hit, Tag: 0x000004
Address: 0x00000367, Set: 0xb, Hit, Tag: 0x000001
Address: 0x00000459, Set: 0x2, Hit, Tag: 0x000002
Address: 0x00001233, Set: 0x1, Miss, Tag: 0x000009
Address: 0x00000071, Set: 0x3, Miss, Tag: 0x000000
Address: 0x00001428, Set: 0x1, Miss, Tag: 0x00000a
Address: 0x00001771, Set: 0xb, Miss, Tag: 0x00000b
Address: 0x00000523, Set: 0x9, Hit, Tag: 0x000002
Address: 0x00001500, Set: 0x8, Miss, Tag: 0x00000a
Address: 0x00001678, Set: 0x3, Hit, Tag: 0x00000b
Address: 0x00001477, Set: 0x3, Miss, Tag: 0x00000a
Address: 0x00001074, Set: 0x3, Miss, Tag: 0x000008
Address: 0x00001503, Set: 0x8, Hit, Tag: 0x00000a
Address: 0x00000283, Set: 0x4, Hit, Tag: 0x000001
Address: 0x00001828, Set: 0x1, Hit, Tag: 0x00000c
Address: 0x00001783, Set: 0xc, Miss, Tag: 0x00000b
Address: 0x00001763, Set: 0xb, Hit, Tag: 0x00000b
Address: 0x00001861, Set: 0x3, Miss, Tag: 0x00000c
Address: 0x00001816, Set: 0x0, Hit, Tag: 0x00000c
Address: 0x00000638, Set: 0x1, Hit, Tag: 0x000003
Address: 0x00000096, Set: 0x4, Miss, Tag: 0x000000
Address: 0x00001947, Set: 0xa, Hit, Tag: 0x00000c
Address: 0x00001015, Set: 0x0, Hit, Tag: 0x000008
Address: 0x00000406, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00001041, Set: 0x2, Miss, Tag: 0x000008
Address: 0x00000719, Set: 0x8, Miss, Tag: 0x000003
Address: 0x00001666, Set: 0x3, Miss, Tag: 0x00000b
Address: 0x00001531, Set: 0x9, Miss, Tag: 0x00000a
Address: 0x00000928, Set: 0x9, Hit, Tag: 0x000004
Address: 0x00001686, Set: 0x4, Miss, Tag: 0x00000b
Address: 0x00000358, Set: 0xa, Hit, Tag: 0x000001
Address: 0x00001789, Set: 0xc, Miss, Tag: 0x00000b
Address: 0x00000005, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000818, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000974, Set: 0xb, Hit, Tag: 0x000004
Address: 0x00000076, Set: 0x3, Hit, Tag: 0x000000
Address: 0x00000198, Set: 0xc, Miss, Tag: 0x000000
Address: 0x00000698, Set: 0x4, Miss, Tag: 0x000003
Address: 0x00000599, Set: 0xc, Miss, Tag: 0x000002
Address: 0x00001698, Set: 0x4, Miss, Tag: 0x00000b
Address: 0x00000328, Set: 0x9, Miss, Tag: 0x000001
Address: 0x00000029, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000725, Set: 0x9, Miss, Tag: 0x000003
Address: 0x00001831, Set: 0x1, Hit, Tag: 0x00000c
Address: 0x00000312, Set: 0x8, Hit, Tag: 0x000001
Address: 0x00000505, Set: 0x8, Hit, Tag: 0x000002
Address: 0x00001566, Set: 0xb, Miss, Tag: 0x00000a
Address: 0x00000027, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000318, Set: 0x8, Hit, Tag: 0x000001
Address: 0x00001334, Set: 0x9, Miss, Tag: 0x000009
Address: 0x00000665, Set: 0x3, Miss, Tag: 0x000003
Address: 0x00000414, Set: 0x0, Miss, Tag: 0x000002
Address: 0x00001233, Set: 0x1, Miss, Tag: 0x000009
Address: 0x00001681, Set: 0x4, Miss, Tag: 0x00000b
Address: 0x00000821, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00000226, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00000352, Set: 0xa, Hit, Tag: 0x000001
Address: 0x00000439, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00001757, Set: 0xa, Hit, Tag: 0x00000b
Address: 0x00001280, Set: 0x4, Hit, Tag: 0x000009
Address: 0x00000077, Set: 0x3, Hit, Tag: 0x000000
Address: 0x00000068, Set: 0x3, Hit, Tag: 0x000000
Address: 0x00001021, Set: 0x1, Miss, Tag: 0x000008
Address: 0x00000082, Set: 0x4, Hit, Tag: 0x000000
Address: 0x00000886, Set: 0x4, Miss, Tag: 0x000004
Address: 0x00001996, Set: 0xc, Miss, Tag: 0x00000c
Address: 0x00000158, Set: 0xa, Miss, Tag: 0x000000
Address: 0x00001084, Set: 0x4, Miss, Tag: 0x000008
Address: 0x00000646, Set: 0x2, Miss, Tag: 0x000003
Address: 0x00000758, Set: 0xa, Miss, Tag: 0x000003
